data,num_file,L0,L2,NNZ,RL_iters,RL_rewards,MF_iters,MF_rewards
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_215.csv,36,0.04581163620699147,0.0,1,16,10,98,11
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_926.csv,37,4.5716747372807936e-05,0.0,6,112,18,206,15
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_926.csv,37,0.00045716747372807936,0.0,1,148,28,155,25
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_926.csv,37,0.004571674737280794,0.0,1,97,16,111,16
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_926.csv,37,0.04571674737280794,0.0,1,4,3,26,3
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_906.csv,38,4.5843127517816146e-05,0.0,7,141,19,352,14
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_906.csv,38,0.00045843127517816143,0.0,2,160,19,199,27
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_906.csv,38,0.0045843127517816145,0.0,1,132,18,144,32
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_906.csv,38,0.04584312751781614,0.0,1,26,11,44,8
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_440.csv,39,4.545102530097749e-05,0.0,3,283,18,348,22
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_440.csv,39,0.0004545102530097749,0.0,1,133,22,158,21
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_440.csv,39,0.004545102530097749,0.0,1,62,16,152,18
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_440.csv,39,0.04545102530097749,0.0,1,7,5,109,6
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_52.csv,40,4.552238526685571e-05,0.0,4,210,28,316,20
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_52.csv,40,0.0004552238526685571,0.0,2,243,19,114,20
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_52.csv,40,0.004552238526685571,0.0,1,134,21,83,12
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_52.csv,40,0.04552238526685571,0.0,1,50,11,30,13
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_826.csv,41,4.57876617273175e-05,0.0,5,123,20,179,19
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_826.csv,41,0.000457876617273175,0.0,1,122,18,84,22
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_826.csv,41,0.00457876617273175,0.0,1,83,16,61,16
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_826.csv,41,0.0457876617273175,0.0,1,14,6,24,5
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_601.csv,42,4.508545010380511e-05,0.0,6,229,20,250,17
