data,num_file,L0,L2,NNZ,RL_iters,RL_rewards,MF_iters,MF_rewards,SAMP_iters,SAMP_rewards,SB_iters,SB_rewards
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_114.csv,24,4.576652405343065e-05,0.0,5,412,23,368,33,278,25,174,38
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_114.csv,24,0.00045766524053430645,0.0,1,123,13,248,25,69,15,26,14
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_114.csv,24,0.004576652405343064,0.0,1,127,18,230,22,113,23,52,12
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_114.csv,24,0.04576652405343065,0.0,1,9,4,180,4,108,4,4,4
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_944.csv,25,4.539345840890163e-05,0.0,2,233,17,393,28,415,29,90,30
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_944.csv,25,0.00045393458408901627,0.0,1,134,19,322,27,124,23,79,15
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_944.csv,25,0.004539345840890162,0.0,1,125,19,268,11,106,16,54,12
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_944.csv,25,0.04539345840890163,0.0,2,2,2,104,2,94,2,65,2
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_274.csv,26,4.5427697494920745e-05,0.0,5,109,17,512,13,155,15,47,16
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_274.csv,26,0.00045427697494920745,0.0,1,136,18,158,24,123,17,56,21
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_274.csv,26,0.004542769749492075,0.0,1,99,18,153,20,68,18,54,16
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_274.csv,26,0.045427697494920746,0.0,1,7,6,127,6,134,6,9,6
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_643.csv,27,4.541722889653027e-05,0.0,7,118,20,287,10,114,12,54,26
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_643.csv,27,0.0004541722889653027,0.0,1,114,18,136,24,112,18,37,17
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_643.csv,27,0.004541722889653027,0.0,1,123,18,133,23,132,24,35,14
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_643.csv,27,0.04541722889653027,0.0,1,7,5,54,5,88,4,10,5
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_356.csv,28,4.539060681536482e-05,0.0,6,178,18,323,25,146,22,76,32
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_356.csv,28,0.0004539060681536482,0.0,1,150,25,241,26,100,22,101,21
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_356.csv,28,0.004539060681536482,0.0,1,132,23,227,15,83,11,41,9
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_356.csv,28,0.045390606815364824,0.0,1,11,6,146,5,28,5,6,5
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_191.csv,29,4.544459636549939e-05,0.0,8,223,20,327,12,245,16,259,36
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_191.csv,29,0.0004544459636549939,0.0,1,144,21,178,26,131,19,48,25
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_191.csv,29,0.004544459636549939,0.0,1,134,21,123,15,125,23,12,9
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_191.csv,29,0.04544459636549939,0.0,1,22,9,89,7,81,10,13,7
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_376.csv,30,4.5921488975845325e-05,0.0,5,147,16,197,21,112,18,79,29
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_376.csv,30,0.0004592148897584532,0.0,1,133,20,119,24,123,16,84,18
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_376.csv,30,0.004592148897584532,0.0,1,94,16,112,22,85,20,31,14
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_376.csv,30,0.045921488975845325,0.0,1,9,7,21,7,14,7,6,5
